id,date,NH4,BSK5,Suspended,O2,NO3,NO2,SO4,PO4,CL,year,month,day,day_of_week,quarter,NH4_rolling_avg,BSK5_rolling_avg,O2_rolling_avg,NO3_rolling_avg,SO4_rolling_avg,CL_rolling_avg,NH4_yoy_change,BSK5_yoy_change,O2_yoy_change,NO3_yoy_change,SO4_yoy_change,CL_yoy_change,season
3,2008-08-13,0.03,1.9,10.4,8.81,1.0,0.024,83.0,0.304,48.0,2008,8,13,2,3,0.038000000000000006,1.2900000000000003,8.639999999999999,1.5566666666666666,77.8,45.5,inf,0.5833333333333333,-0.007882882882882969,1.127659574468085,0.08610311436796647,0.3114754098360655,Summer
3,2008-09-02,0.7,1.7,26.4,8.88,2.22,0.038,60.8,0.676,35.5,2008,9,2,1,3,0.26,1.5633333333333337,8.633333333333333,1.39,76.10000000000001,44.36666666666667,inf,0.4285714285714286,0.03135888501742179,1.6428571428571432,0.3380281690140845,-0.030584380120152854,Autumn
3,2008-10-02,0.097,4.88,0.0,12.8,3.57,0.015,49.28,0.693,36.2,2008,10,2,3,4,0.27566666666666667,2.8266666666666667,10.163333333333332,2.263333333333333,64.36,39.900000000000006,8.7,2.5882352941176467,0.22137404580152675,-0.07272727272727275,-0.33674293405114397,-0.05235602094240832,Autumn
3,2008-11-12,0.114,0.83,8.4,11.8,3.34,0.018,56.32,0.514,42.2,2008,11,12,2,4,0.3036666666666667,2.47,11.159999999999998,3.043333333333333,55.46666666666667,37.96666666666667,-0.08799999999999997,-0.5608465608465609,-0.023986765922249687,-0.38939670932358317,-0.2022662889518413,0.1105263157894738,Autumn
3,2008-12-10,0.023,0.79,0.0,12.12,5.68,0.023,32.64,0.377,37.6,2008,12,10,2,4,0.07800000000000004,2.166666666666667,12.239999999999997,4.196666666666666,46.080000000000005,38.66666666666667,-0.8083333333333333,-0.5611111111111111,-0.06046511627906981,0.055762081784386686,-0.6963720930232558,-0.13958810068649885,Winter
3,2009-01-09,0.114,1.78,18.4,13.29,5.59,0.018,103.0,0.249,60.9,2009,1,9,4,1,0.08366666666666671,1.1333333333333335,12.40333333333333,4.87,63.98666666666667,46.900000000000006,56.0,-0.23931623931623924,0.0254629629629628,-0.37541899441340776,0.4365411436541142,0.23529411764705888,Winter
3,2009-02-03,0.017,0.93,0.8,14.1,6.24,0.037,53.76,0.244,36.1,2009,2,3,1,1,0.05133333333333338,1.166666666666667,13.169999999999996,5.836666666666666,63.13333333333333,44.86666666666667,0.0,-0.6490566037735849,0.03982300884955747,-0.3104972375690608,-0.3913043478260869,-0.19902374084757046,Winter
3,2009-03-04,0.0,2.11,18.8,13.6,6.68,0.017,68.16,0.123,39.0,2009,3,4,2,1,0.04366666666666671,1.6066666666666667,13.663333333333332,6.169999999999999,74.97333333333333,45.333333333333336,-1.0,-0.4476439790575917,0.1165845648604269,0.22344322344322332,-0.23415730337078655,-0.16129032258064513,Spring
3,2009-04-06,0.0,3.86,18.0,12.92,5.11,0.013,64.5,0.1,33.7,2009,4,6,0,2,0.005666666666666704,2.3000000000000003,13.539999999999997,6.010000000000001,62.13999999999999,36.266666666666666,-1.0,0.08732394366197194,0.18640955004591353,-0.29999999999999993,-0.058394160583941646,-0.0792349726775956,Spring
3,2009-05-19,0.1,0.99,7.2,8.42,6.54,0.023,62.7,0.22,41.9,2009,5,19,1,2,0.033333333333333375,2.3200000000000003,11.646666666666663,6.109999999999999,65.12,38.199999999999996,1.5,-0.2142857142857143,-0.17450980392156856,1.089456869009585,-0.3017817371937639,0.18028169014084505,Spring
